"Product Code","Amazon ASIN","Name","Sku Id","Selling Price","MRP","Cost Price","Quantity","Packaging Length (in cm)","Packaging Breadth (in cm)","Packaging Height (in cm)","Packaging Weight (in kg)","GST %","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6","Image 7","Image 8","Image 9","Image 10","Video 1","Video 2","Product Type","Size Type","Size","Colour","Description","Return/Exchange Condition","Visibility","Size Chart","Pickup Address Code","HSN Code","Customisation Id","Associated Pixel","attr_Print /Pattern Type","attr_Style","attr_Colour Shade Name","attr_Colour Family","attr_Package Contents","attr_Fabric Type","attr_Pattern","attr_Season","attr_Country_of_Origin","attr_Ideal for","attr_Fabric","attr_Colour Code","attr_Size","attr_Colour","attr_Brand","attr_Material","attr_Ideal For","attr_Key Features","attr_Durability","attr_Country of Origin","attr_Set includes","attr_Packaging","attr_Thread Count (TC)","attr_Usage Instructions","attr_Color","attr_Pattern Type","attr_Package contents","attr_Standard Size","attr_Fabric Feel","attr_Features","attr_Additional Feature","attr_Basic Colour","attr_Product Type","attr_Features 1","attr_Features 2","attr_Theme","attr_Work Type","attr_Quantity","attr_Secondary Color","attr_Finish","attr_Design","attr_Wash Care","attr_Bedsheet Dimensions"
"AH-BLUEBLSM-KDCH-SK","","Blue Blossom Checks Pure Cotton Bedsheet - Super King Size","109BS",1899,3199,930,2,38,30,4,"1.2",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Blue_Blossom_Pure_Cotton_Bedsheet_set___Super_King_Size_P8Q9AQLID4_2026-06-04_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Blue_Blossom_Pure_Cotton_Bedsheet_set___Super_King_Size_P63GWAYB8X_2026-06-04_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Blue_Blossom_Pure_Cotton_Bedsheet_set___Super_King_Size_3YMG32YMJO_2026-06-04_3.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Blue_Blossom_Pure_Cotton_Bedsheet_set___Super_King_Size_0P43UXF97M_2026-06-04_4.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Blue_Blossom_Pure_Cotton_Bedsheet_set___Super_King_Size_LJQ6KF1C72_2026-06-04_5.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Blue_Blossom_Pure_Cotton_Bedsheet_set___Super_King_Size_VRZI9VZKAF_2026-06-04_6.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Blue_Blossom_Pure_Cotton_Bedsheet_set___Super_King_Size_3I452JXR4P_2026-06-04_7.png","","","","","","home__home_furnishing__bed_linen","size","110*110 inches","","Bring freshness to your bedroom with the Blue Blossom 100% Pure Cotton Bedsheet Set. 
Designed in shades of blue with procian prints, this bedsheet features delicate floral border motifs combined with geometric detailing for a timeless look. 
Crafted from soft, breathable 250 TC cotton, it offers everyday comfort while enhancing your bedroom decor. 
The coordinated pillow covers complete the sophisticated aesthetic, making it perfect for modern and contemporary homes.

Key Features:
- 100% Cotton - 250 TC Fabric (Procian Prints)
- Soft & Breathable
- Skin-Friendly
- Machine Washable
- Fade-Resistant Print","6",true,"","Panipat_132103_0180d","","","","Floral Print with Geometric Micro-Check at one end","Contemporary Indian | Resort-Inspired Bedroom Decor",,"Royal Blue","1 Super king size bedsheet + 2 Large Pillow Covers","250 TC Pure Cotton Fabric",,,,,,,"110 x 110 inches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TLS-BB-PPP-QDB","","Pink Polka Dots Bedsheet Set with 2 cushions & 2 pillow covers- 180 GSM Cotton Blend","TLS-BB-PPP-QDB",999,1999,400,6,62,34,6,"1.7",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/SUX_tx0b_25N68F1OAE_2025-12-14_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/SUX_tx0b_R2CH3TMV3G_2025-12-14_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/SUX_tx0b_9NC37LCBOB_2025-12-14_3.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/SUX_tx0b_DE32VILPGD_2025-12-14_4.png","","","","","","","","","home__home_improvement__utility","size","90 x 100 Inches","Pink & White","Brighten Up Your Bedroom With This Charming And Playful Pink Polka Dots Bed Sheet Set. This Beautiful Set Features A Delightful Combination Of Soft Pink And White, Adorned With Classic Polka Dots. It Showcases A Larger Polka Dot Pattern, While The Quilted Pillow Covers, Quilted Cushions Feature a Complementary Design. A Subtle Floral Print On The Bottom Adds A Touch Of Romantic Elegance To This Fun And Fresh Bedding Set. It's Perfect For Creating A Cozy, Inviting, And Cheerful Space.

	•	Design: Soft pink and white with classic polka dots.
	•	Additional Feature: Subtle floral print on the bottom for a touch of elegance.
	•	Overall Style: Charming, playful, cosy, inviting, and cheerful.","6",true,"","Panipat_132103_0180d","","","",,"Modern/Cute",,,,,"Polka Dot with Floral accents",,,,,,"Bedsheet: 90 x 100 Inches
2 quilted pillow covers: 18 x 28 inches
2 cushions with fillers: 12 x 12 inches","Pink & White","Aaram Homes","Cotton blend 180 GSM","Home","Premium Quality","Built with high-quality, durable materials","India","1 Double Bedsheet + 2 Pillow Covers + 2 cushions with fillers","Eco-friendly packaging",,,,,,,,,,,,,,,,,,,,,
"TLS-MP-CB-DBF","","Mattress Cover | Protector | 100% Waterproof | Coffee Brown","104MP",1499,2999,700,2,33,27,11,"1.3",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Vccfno1A_7FY4SQ0I5H_2025-10-14_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Vccfno1A_ZTJ4DJXR4H_2025-12-24_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/TLS_MP_CB_DBF_1759704932556_p1n7cxjd0ihyyjp.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Vccfno1A_2FDDMPZK2H_2025-10-14_2.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Vccfno1A_FW3SAPD0JT_2025-11-09_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Vccfno1A_93NGXV19Z1_2025-11-09_2.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Vccfno1A_6L4PILUPYP_2025-11-09_3.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Vccfno1A_9UW83LFA5M_2025-11-09_4.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Vccfno1A_E572APKWL5_2025-11-09_5.jpg","","","","home__home_improvement__utility","size","72x78 + 12""","Coffee Brown","Premium Waterproof Quilted Mattress Protector
Keep your mattress safe and make your bed look stylish with this elegant Coffee Brown Waterproof Quilted Mattress Protector. Its soft, quilted top adds an extra layer of comfort, while the waterproof backing protects your mattress from spills, stains, dust, and allergens. It’s a perfect blend of comfort, hygiene, and durability for everyday use.
Key Features:
- Soft quilted fabric for extra comfort
- 100% waterproof and dust-resistant protection
- Breathable material to keep your mattress fresh
- Deep pockets for a snug, secure fit on all mattresses
- Super Easy to wash and maintain","6",true,"","Panipat_132103_0180d","","","",,"Fitted style with deep pockets",,,,,"Diamond quilted pattern",,,,,,"1 Mattress protector: 72x78 + 12""","Coffee Brown","Aaram Homes","Cotton on top and waterproof sheet below","Home","Premium Quality","Built with high-quality, durable materials","India","1 mattress protector","Eco-friendly packaging",,,,,,,,,,,,,,,,,,,,,
"AH_ESPRESSO_STRIPES_KDB","","Espresso Brown Stripes 300 TC  Pure Cotton Bedsheet Set","113BS",2499,3999,1220,2,38,30,4,"1.2",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Espresso_Brown_Stripes_300_TC__Pure_Cotton_Bedsheet_Set_U1AVT0TRXD_2026-07-17_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Espresso_Brown_Stripes_300_TC__Pure_Cotton_Bedsheet_Set_DAHNMNRTWH_2026-07-17_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Espresso_Brown_Stripes_300_TC__Pure_Cotton_Bedsheet_Set_0XG2NX4Z4Q_2026-07-17_3.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Espresso_Brown_Stripes_300_TC__Pure_Cotton_Bedsheet_Set_COLQ5UA8ED_2026-07-17_4.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Espresso_Brown_Stripes_300_TC__Pure_Cotton_Bedsheet_Set_A5V7G97UYM_2026-07-17_5.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Espresso_Brown_Stripes_300_TC__Pure_Cotton_Bedsheet_Set_IQMJDW8BGP_2026-07-17_6.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Espresso_Brown_Stripes_300_TC__Pure_Cotton_Bedsheet_Set_YXLAWMOMY6_2026-07-17_7.png","","","","","","","size","108 x 108 inches","","Bring home the quiet elegance of rich espresso tones with the Espresso Brown Stripes Bedsheet Set. 
Designed to complement modern interiors, its deep brown palette paired with crisp ivory stripes creates a sophisticated look that's timeless and effortlessly stylish.
Crafted from 100% Pure Cotton with a premium 300 Thread Count, this bedsheet feels exceptionally soft, smooth, and breathable. 
Whether you're settling in after a long day or enjoying a slow weekend morning, its luxurious texture offers the comfort of a boutique hotel in the warmth of your own home.
Made for everyday living yet designed to look refined, the Espresso Brown Stripes Bedsheet Set is the perfect blend of comfort, durability, and contemporary style.

Why You'll Love It:-
- 100% Pure Cotton for natural softness and breathability.
- 300 Thread Count fabric offers a smooth, premium feel every night.
- Rich espresso brown tones with elegant stripes create a modern, sophisticated look.
- Durable fabric with long-lasting colour and softness, wash after wash.
- Perfect for everyday comfort while adding a luxurious touch to your bedroom.","2",true,"","Panipat_132103_0180d","","","","Contemporary Horizontal Stripes","Modern Minimalist",,"Espresso Brown, Ivory White","1 King Size Bedsheet, 2 Large Pillow Covers","100% Pure Cotton",,,,,,,,,,,,,,,,,"300 TC",,,,,,,,,,,,,,,,,,,,
"KD-SSK-AQGB-KDB","","Aqua Gulbahar Handblock Printed Cotton Bedsheet Set","116BS",1299,1699,600,2,38,30,4,"1.2",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lWWNIQew_9MZUQEGCSS_2026-02-08_5.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lWWNIQew_4WA6OAI9TA_2026-02-08_2.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lWWNIQew_FECNLKEXPK_2026-02-08_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lWWNIQew_QNYLLEDZ4Y_2026-02-08_3.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/lWWNIQew_DOL06L604F_2026-02-08_4.jpeg","","","","","","","","","size","100*108 inches","Teal Green","Upgrade your bedroom with the Aqua Gulbahar Handblock Printed Cotton Bedsheet Set, crafted using traditional handblock printing techniques and natural colours. This premium bedsheet features a soothing aqua blue base with intricately hand-printed floral and bird motifs inspired by Indian botanical gardens.
Made from 100% breathable cotton, this handblock printed bedsheet is gentle on the skin, eco-friendly, and ideal for all seasons. The use of natural dyes gives the fabric a soft, earthy finish while ensuring comfort and durability. Each bedsheet is individually hand printed by skilled artisans, making every piece truly unique.
Perfect for those searching for handblock printed cotton bedsheets online, this design blends heritage craftsmanship with modern pastel aesthetics—adding calm, freshness, and elegance to your bedroom décor.","6",true,"","Panipat_132103_0180d","","","",,,,,,,"Handcrafted Indian Bedding
Eco-friendly & Sustainable Home Linen
Pastel Botanical Bedroom Décor
Traditional Craft with Modern Elegance",,,,,,,"Traditional handblock printed floral and bird design with detailed botanical vines and an ornamental border.","Aqua with blush pink & soft green motifs",,,,,,,,,"Gentle hand wash or machine wash separately. Use mild detergent. Do not soak or bleach. Dry in shade to maintain natural colours",,,,,,,,,,,,,,,,,,,
"TLS-STRP-SILVER-DWB","","Cotton Striped Pattern Diwan Bedsheet Set (1 Diwan bedsheet, 5 cushion covers & 2 bolster covers)","101DS",749,1299,290,6,38,30,4,"1.2",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/b4lK0DFJ_X67572NC34_2025-10-04_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/b4lK0DFJ_6IJOD35LUW_2025-10-04_2.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/b4lK0DFJ_GQDNXYCOUH_2025-10-04_3.jpg","","","","","","","","","","home__home_improvement__utility","size","70"" x 100""","Silver Grey","Give your living room a fresh and elegant look with this stylish Stripes Diwan Set. Made from a soft and durable cotton-blend fabric, it feels comfortable to use every day and still looks great for special occasions.
Key Features:
- Soft, breathable imported cotton fabric
- Classic strips pattern that suits any decor
- Designed to fit standard diwans perfectly
Also perfect for gifting","6",true,"","Panipat_132103_0180d","","","",,"modern, minimal style",,,,,"striped pattern",,,,,,"1 Diwan Bedsheet (Size: 70"" x 100""), 2 Bolster Covers, 5 Cushion Covers (16"" x 16"")","Silver Grey","Aaram Homes","Imported cotton","Home","Premium Quality","Built with high-quality, durable materials","India","1 Diwan bedsheet + 5 cushion covers + 2 bolster covers","Eco-friendly packaging",,,,,,,,,,,,,,,,,,,,,
"TLS-MP-RYB-DBF","","Mattress Cover | Protector |  100% Waterproof | Royal Blue","101MP",1499,2999,760,8,23,23,23,"3.0",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/fi_gpkEj_7FAQ1OX3FD_2025-12-24_1.jpeg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/fi_gpkEj_RH8M20ZA9M_2025-10-14_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/TLS_MP_RYB_DBF_1759703739341_tsz9fyzxoxpbw4m.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/fi_gpkEj_3GD14UCPKH_2025-11-09_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/fi_gpkEj_6DKO3D022L_2025-11-09_2.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/fi_gpkEj_PJ350OAXYA_2025-11-09_3.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/fi_gpkEj_FNCCAKWNOM_2025-11-09_5.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/fi_gpkEj_7082M0SLMF_2025-11-09_4.jpg","","","","","home__home_improvement__utility","size","72x78 + 12""","Royal Blue","Protect your mattress in style with this Royal Blue Waterproof Quilted Mattress Protector. The soft, cushioned quilted top adds extra comfort to your bed, while the waterproof backing shields your mattress from spills, stains, dust, and allergens. It’s designed to keep your sleeping space fresh, hygienic, and beautifully put together.

Key Features:
- Soft, quilted fabric for added comfort
- 100% waterproof and dust-resistant
- Breathable material keeps your mattress fresh
- Deep pockets for a secure fit on all standard mattresses
- Super Easy to wash and maintain





Note : We strive to present our products as accurately as possible. However, slight variations in colour may occur due to photography and individual screen settings.","2",true,"","Panipat_132103_0180d","","","1",,"Fitted style with deep pockets",,,,,"Diamond quilted pattern",,,,,,"1 Mattress protector: 72x78 + 12""","Royal Blue","Aaram Homes","Cotton on top and waterproof sheet below","Home","Premium Quality","Built with high-quality, durable materials","India","1 mattress protector (Fits upto King size)",,,,,,,,,,,,,,,,,,,,,,
"Sitting-Girls-Gold","","Antique Gold Thinker Girl Figurine | Set of 3 | Home Decor","Sitting-Girls-Gold_3pc",1749,2999,750,5,23,6,23,"1.2",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GqzNTht7_2S59N0G6UY_2026-07-23_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GqzNTht7_DAPHTMP1GP_2026-07-23_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GqzNTht7_5T8YSE12WW_2026-07-23_3.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/GqzNTht7_4Z3KE6R1FP_2026-07-23_4.png","","","","","","","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_vid/GqzNTht7_JWUW954A2Y_2026-07-23_1.MP4","","home__home_improvement__utility","size","9","Antique Gold","Modern Abstract Sitting Sculptures

Elevate your interiors with the Aaram Homes Antique Gold Thinker Figurine Showpiece Set of 3, designed to bring timeless elegance to contemporary spaces.
Crafted from premium-quality polyresin with a sophisticated matte antique gold finish, these modern abstract sculptures effortlessly complement Scandinavian, Japandi, Minimalist, and Modern interiors.
Each figurine represents a unique contemplative pose, creating a balanced visual composition that enhances console tables, floating shelves, TV units, bookshelves, office desks, entryways, and living rooms.

With graceful curves and a premium handcrafted appearance, this elegant sculpture set becomes an instant focal point while maintaining a refined minimalist aesthetic.

Key Features:
- Premium Construction
- Elegant Antique Gold Finish
- Modern Minimalist Design
- Ideal for Console Tables & Floating Shelves
- Lightweight Yet Durable
Perfect Gift for Housewarming, Weddings & Festivals","1050",true,"","Panipat_132103_0180d","","","","Abstract Sculptural","Modern | Minimalist","Antique Gold",,,,,,,,,,,,,"Premium Polyresin",,,,,,,,,,,,,,,,,,,,,,,,,,,
"PINK-KITTY-CUSHION-1PC","","Pretty Pink Bow Plush Cushion","102CUSH",490,799,160,16,37,28,4,"1",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pretty_Pink_Bow_Plush_Cushion_IK80XLNREC_2026-08-23_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pretty_Pink_Bow_Plush_Cushion_42P9ORK9G0_2026-08-23_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Pretty_Pink_Bow_Plush_Cushion_MFRK7US2IW_2026-08-23_3.png","","","","","","","","","","","size","14 inches","","Add a touch of sweetness and playful charm to your little one’s room with this adorable plush face cushion. Designed with a cute white character face, embroidered-style detailing, and a soft pink bow, this cushion makes a delightful addition to kids’ bedrooms, playrooms, reading corners, or cozy spaces. Its soft, rounded design is perfect for adding comfort and personality while complementing playful and pastel-themed interiors.

What is this cushion?
 It is a soft, character-inspired decorative cushion featuring a cute white face with a pink bow, designed especially for cozy corners.","1050",true,"","Panipat_132103_0180d","","","",,"Cute & Playful | Character-Inspired",,"White base with Pink, Grey & Yellow detailing",,,"Cartoon-Inspired | Bow Detail",,"India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOW_CLOUD_COMFORTERSET_4PC","","Cloud Cotton Premium King Size Frills Bedding Set - with Comforter","101CS",6999,7999,3600,13,65,36,11,"4.2",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Cloud_Cotton_Premium_King_Size_Frills_Bedding_Set___with_Comforter_1FW67TM1PD_2026-07-15_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Cloud_Cotton_Premium_King_Size_Frills_Bedding_Set___with_Comforter_5FV0MLZ8IG_2026-07-15_2.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Cloud_Cotton_Premium_King_Size_Frills_Bedding_Set___with_Comforter_PUIA1QW5FG_2026-07-15_3.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Cloud_Cotton_Premium_King_Size_Frills_Bedding_Set___with_Comforter_OUYXUC3PLB_2026-07-15_4.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Cloud_Cotton_Premium_King_Size_Frills_Bedding_Set___with_Comforter_IZW8Q5K317_2026-07-15_5.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/Cloud_Cotton_Premium_King_Size_Frills_Bedding_Set___with_Comforter_Y8KKRCESU9_2026-07-15_6.png","","","","","","","","size","108 x 108 inches","","Wake up to the feeling of sleeping on a cloud.

Designed for those who appreciate soft textures and timeless elegance, this Bedding Set combines premium craftsmanship with everyday functionality.
Made from 100% Pure Bamboo Cotton, this bedding feels exceptionally soft against the skin while remaining incredibly lightweight and breathable.

The delicate bow print is paired with graceful double frills and handcrafted ribbon detailing, giving your bedroom an effortlessly elegant Pinterest-inspired aesthetic.
Whether you're styling your own bedroom or creating the perfect guest room, this bedding instantly elevates the space with a luxurious designer finish.

The generously sized 108 × 108 inch king-size bedsheet offers excellent mattress coverage, while the plush comforter provides cozy warmth without feeling heavy. 
Every detail from the premium fabric to the elegant trims has been thoughtfully designed to deliver unmatched comfort and refined style.
Bring home a bedding set that feels as beautiful as it looks.

Why You'll Love It:
- Crafted from 100% Pure Bamboo Cotton
- Premium ultra-soft luxury fabric
- Lightweight yet fluffy comforter for year-round comfort
- Breathable, skin-friendly and gentle on sensitive skin
- Elegant double frill detailing on comforter and pillow covers
- Premium ribbon embellishments for a designer finish
- Soft-touch finish with superior drape","2",true,"","Panipat_132103_0180d","","","","Minimal Bow Print with Double Frill & Ribbon Accents","Modern Romantic Luxury|  Pinterest Aesthetic | Minimal Elegant",,"Powder Blue & Ivory White","1 King Size Bedsheet (108 × 108 inches) , 1 Plush Lightweight Premium Comforter and 2 Large Pillow Covers","100% Pure Soft Cotton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KD-IK-BLUSH-KDB","","Blush Ikat Pure Cotton Bedsheet Set","103BS",1299,2999,630,8,38,30,4,"1.2",5,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/uGxo64Tc_0C87NDCLU6_2026-03-14_3.JPEG","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/uGxo64Tc_JLW782KWB4_2026-03-14_1.JPEG","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/uGxo64Tc_8DTWDA3IR4_2026-03-14_2.JPEG","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/uGxo64Tc_H3V5QXEH4H_2026-03-14_4.PNG","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/uGxo64Tc_B5F9DFNNQI_2026-03-14_5.JPEG","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/uGxo64Tc_W5TH2FS80I_2026-03-14_6.JPEG","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/uGxo64Tc_D1L7XCW7NK_2026-03-14_7.JPEG","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/uGxo64Tc_3ONV16BCZ4_2026-03-14_8.PNG","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/uGxo64Tc_FVP5HXYLWX_2026-03-14_9.JPEG","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68c015dd317e68f10e190e4c/cat_img/uGxo64Tc_Y7ZRQ7BNBB_2026-03-14_10.PNG","","","home__home_improvement__utility","size","100*108 inches","Blush Pink, Peach & Ivory","Add soft elegance to your bedroom with this Blush Ikat Pure Cotton Bedsheet Set. Crafted from breathable 100% cotton, it feels smooth, lightweight, and comfortable for everyday use while enhancing your space with subtle ethnic charm.","6",true,"","Panipat_132103_0180d","","","",,"Modern Ethnic | Elegant | Minimal Luxury",,,,,"Ikat Print",,,,,,,,"Aaram Homes",,,,"Built with high-quality, durable materials","India","One double bedsheet and 2 large pillow covers","Eco-friendly packaging",,,"Blush Pink, Peach & Ivory",,,,,,,,,,,,,,,,,,
